"Counting","SA2 (UR)","INCP Total Personal Income (weekly)","Count"
"Persons Place of Usual Residence","Granville - Clyde","Total",20830
"Persons Place of Usual Residence","Greystanes - Pemulwuy","Negative income",106
"Persons Place of Usual Residence","Greystanes - Pemulwuy","Nil income",2112
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$1-$149 ($1-$7,799)",926
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$150-$299 ($7,800-$15,599)",1369
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$300-$399 ($15,600-$20,799)",1752
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$400-$499 ($20,800-$25,999)",1508
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$500-$649 ($26,000-$33,799)",1340
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$650-$799 ($33,800-$41,599)",1488
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$800-$999 ($41,600-$51,999)",1840
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$1,000-$1,249 ($52,000-$64,999)",1982
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$1,250-$1,499 ($65,000-$77,999)",1353
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$1,500-$1,749 ($78,000-$90,999)",1202
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$1,750-$1,999 ($91,000-$103,999)",771
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$2,000-$2,999 ($104,000-$155,999)",1108
"Persons Place of Usual Residence","Greystanes - Pemulwuy","$3,000 or more ($156,000 or more)",394
"Persons Place of Usual Residence","Greystanes - Pemulwuy","Not stated",1349
"Persons Place of Usual Residence","Greystanes - Pemulwuy","Not applicable",5714
"Persons Place of Usual Residence","Greystanes - Pemulwuy","Total",26307
"Persons Place of Usual Residence","Guildford - South Granville","Negative income",180
"Persons Place of Usual Residence","Guildford - South Granville","Nil income",2142
"Persons Place of Usual Residence","Guildford - South Granville","$1-$149 ($1-$7,799)",738
"Persons Place of Usual Residence","Guildford - South Granville","$150-$299 ($7,800-$15,599)",1817
"Persons Place of Usual Residence","Guildford - South Granville","$300-$399 ($15,600-$20,799)",1905
"Persons Place of Usual Residence","Guildford - South Granville","$400-$499 ($20,800-$25,999)",1431
"Persons Place of Usual Residence","Guildford - South Granville","$500-$649 ($26,000-$33,799)",1117
"Persons Place of Usual Residence","Guildford - South Granville","$650-$799 ($33,800-$41,599)",1099
"Persons Place of Usual Residence","Guildford - South Granville","$800-$999 ($41,600-$51,999)",1154
"Persons Place of Usual Residence","Guildford - South Granville","$1,000-$1,249 ($52,000-$64,999)",1011
"Persons Place of Usual Residence","Guildford - South Granville","$1,250-$1,499 ($65,000-$77,999)",551
"Persons Place of Usual Residence","Guildford - South Granville","$1,500-$1,749 ($78,000-$90,999)",398
"Persons Place of Usual Residence","Guildford - South Granville","$1,750-$1,999 ($91,000-$103,999)",233
"Persons Place of Usual Residence","Guildford - South Granville","$2,000-$2,999 ($104,000-$155,999)",247
"Persons Place of Usual Residence","Guildford - South Granville","$3,000 or more ($156,000 or more)",102
"Persons Place of Usual Residence","Guildford - South Granville","Not stated",1697
"Persons Place of Usual Residence","Guildford - South Granville","Not applicable",5126
"Persons Place of Usual Residence","Guildford - South Granville","Total",20951
"Persons Place of Usual Residence","Guildford West - Merrylands West","Negative income",197
"Persons Place of Usual Residence","Guildford West - Merrylands West","Nil income",1948
"Persons Place of Usual Residence","Guildford West - Merrylands West","$1-$149 ($1-$7,799)",723
"Persons Place of Usual Residence","Guildford West - Merrylands West","$150-$299 ($7,800-$15,599)",1621
"Persons Place of Usual Residence","Guildford West - Merrylands West","$300-$399 ($15,600-$20,799)",1563
"Persons Place of Usual Residence","Guildford West - Merrylands West","$400-$499 ($20,800-$25,999)",1453
"Persons Place of Usual Residence","Guildford West - Merrylands West","$500-$649 ($26,000-$33,799)",1188
"Persons Place of Usual Residence","Guildford West - Merrylands West","$650-$799 ($33,800-$41,599)",1317
"Persons Place of Usual Residence","Guildford West - Merrylands West","$800-$999 ($41,600-$51,999)",1443
"Persons Place of Usual Residence","Guildford West - Merrylands West","$1,000-$1,249 ($52,000-$64,999)",1291
"Persons Place of Usual Residence","Guildford West - Merrylands West","$1,250-$1,499 ($65,000-$77,999)",826
"Persons Place of Usual Residence","Guildford West - Merrylands West","$1,500-$1,749 ($78,000-$90,999)",586
"Persons Place of Usual Residence","Guildford West - Merrylands West","$1,750-$1,999 ($91,000-$103,999)",320
"Persons Place of Usual Residence","Guildford West - Merrylands West","$2,000-$2,999 ($104,000-$155,999)",333
"Persons Place of Usual Residence","Guildford West - Merrylands West","$3,000 or more ($156,000 or more)",99
"Persons Place of Usual Residence","Guildford West - Merrylands West","Not stated",1288
"Persons Place of Usual Residence","Guildford West - Merrylands West","Not applicable",4518
"Persons Place of Usual Residence","Guildford West - Merrylands West","Total",20722
"Persons Place of Usual Residence","Merrylands - Holroyd","Negative income",223
"Persons Place of Usual Residence","Merrylands - Holroyd","Nil income",2865
"Persons Place of Usual Residence","Merrylands - Holroyd","$1-$149 ($1-$7,799)",1021
"Persons Place of Usual Residence","Merrylands - Holroyd","$150-$299 ($7,800-$15,599)",2021
"Persons Place of Usual Residence","Merrylands - Holroyd","$300-$399 ($15,600-$20,799)",2117
"Persons Place of Usual Residence","Merrylands - Holroyd","$400-$499 ($20,800-$25,999)",1879
"Persons Place of Usual Residence","Merrylands - Holroyd","$500-$649 ($26,000-$33,799)",1597
"Persons Place of Usual Residence","Merrylands - Holroyd","$650-$799 ($33,800-$41,599)",1694
"Persons Place of Usual Residence","Merrylands - Holroyd","$800-$999 ($41,600-$51,999)",1992
"Persons Place of Usual Residence","Merrylands - Holroyd","$1,000-$1,249 ($52,000-$64,999)",1866
"Persons Place of Usual Residence","Merrylands - Holroyd","$1,250-$1,499 ($65,000-$77,999)",1229
"Persons Place of Usual Residence","Merrylands - Holroyd","$1,500-$1,749 ($78,000-$90,999)",837
"Persons Place of Usual Residence","Merrylands - Holroyd","$1,750-$1,999 ($91,000-$103,999)",493
"Persons Place of Usual Residence","Merrylands - Holroyd","$2,000-$2,999 ($104,000-$155,999)",691
"Persons Place of Usual Residence","Merrylands - Holroyd","$3,000 or more ($156,000 or more)",223
"Persons Place of Usual Residence","Merrylands - Holroyd","Not stated",1689
"Persons Place of Usual Residence","Merrylands - Holroyd","Not applicable",6013
"Persons Place of Usual Residence","Merrylands - Holroyd","Total",28452
"Persons Place of Usual Residence","Smithfield Industrial","Negative income",0
"Persons Place of Usual Residence","Smithfield Industrial","Nil income",0
"Persons Place of Usual Residence","Smithfield Industrial","$1-$149 ($1-$7,799)",0
"Persons Place of Usual Residence","Smithfield Industrial","$150-$299 ($7,800-$15,599)",4
"Persons Place of Usual Residence","Smithfield Industrial","$300-$399 ($15,600-$20,799)",0
"Persons Place of Usual Residence","Smithfield Industrial","$400-$499 ($20,800-$25,999)",0
"Persons Place of Usual Residence","Smithfield Industrial","$500-$649 ($26,000-$33,799)",0
"Persons Place of Usual Residence","Smithfield Industrial","$650-$799 ($33,800-$41,599)",0
"Persons Place of Usual Residence","Smithfield Industrial","$800-$999 ($41,600-$51,999)",0
"Persons Place of Usual Residence","Smithfield Industrial","$1,000-$1,249 ($52,000-$64,999)",0
"Persons Place of Usual Residence","Smithfield Industrial","$1,250-$1,499 ($65,000-$77,999)",0
"Persons Place of Usual Residence","Smithfield Industrial","$1,500-$1,749 ($78,000-$90,999)",0
"Persons Place of Usual Residence","Smithfield Industrial","$1,750-$1,999 ($91,000-$103,999)",0
"Persons Place of Usual Residence","Smithfield Industrial","$2,000-$2,999 ($104,000-$155,999)",0
"Persons Place of Usual Residence","Smithfield Industrial","$3,000 or more ($156,000 or more)",0
"Persons Place of Usual Residence","Smithfield Industrial","Not stated",0
"Persons Place of Usual Residence","Smithfield Industrial","Not applicable",0
"Persons Place of Usual Residence","Smithfield Industrial","Total",10
"Persons Place of Usual Residence","Yennora Industrial","Negative income",0
"Persons Place of Usual Residence","Yennora Industrial","Nil income",0
"Persons Place of Usual Residence","Yennora Industrial","$1-$149 ($1-$7,799)",0
"Persons Place of Usual Residence","Yennora Industrial","$150-$299 ($7,800-$15,599)",0
"Persons Place of Usual Residence","Yennora Industrial","$300-$399 ($15,600-$20,799)",4
"Persons Place of Usual Residence","Yennora Industrial","$400-$499 ($20,800-$25,999)",0
"Persons Place of Usual Residence","Yennora Industrial","$500-$649 ($26,000-$33,799)",0
"Persons Place of Usual Residence","Yennora Industrial","$650-$799 ($33,800-$41,599)",0
"Persons Place of Usual Residence","Yennora Industrial","$800-$999 ($41,600-$51,999)",0
"Persons Place of Usual Residence","Yennora Industrial","$1,000-$1,249 ($52,000-$64,999)",0
"Persons Place of Usual Residence","Yennora Industrial","$1,250-$1,499 ($65,000-$77,999)",0
"Persons Place of Usual Residence","Yennora Industrial","$1,500-$1,749 ($78,000-$90,999)",0
"Persons Place of Usual Residence","Yennora Industrial","$1,750-$1,999 ($91,000-$103,999)",0
"Persons Place of Usual Residence","Yennora Industrial","$2,000-$2,999 ($104,000-$155,999)",0
"Persons Place of Usual Residence","Yennora Industrial","$3,000 or more ($156,000 or more)",0
"Persons Place of Usual Residence","Yennora Industrial","Not stated",0
"Persons Place of Usual Residence","Yennora Industrial","Not applicable",0
"Persons Place of Usual Residence","Yennora Industrial","Total",14
"Persons Place of Usual Residence","North Parramatta","Negative income",90
"Persons Place of Usual Residence","North Parramatta","Nil income",2250
"Persons Place of Usual Residence","North Parramatta","$1-$149 ($1-$7,799)",558
"Persons Place of Usual Residence","North Parramatta","$150-$299 ($7,800-$15,599)",1128
"Persons Place of Usual Residence","North Parramatta","$300-$399 ($15,600-$20,799)",1189
"Persons Place of Usual Residence","North Parramatta","$400-$499 ($20,800-$25,999)",1450
"Persons Place of Usual Residence","North Parramatta","$500-$649 ($26,000-$33,799)",964
"Persons Place of Usual Residence","North Parramatta","$650-$799 ($33,800-$41,599)",1150
"Persons Place of Usual Residence","North Parramatta","$800-$999 ($41,600-$51,999)",1549
"Persons Place of Usual Residence","North Parramatta","$1,000-$1,249 ($52,000-$64,999)",1699
"Persons Place of Usual Residence","North Parramatta","$1,250-$1,499 ($65,000-$77,999)",1334
"Persons Place of Usual Residence","North Parramatta","$1,500-$1,749 ($78,000-$90,999)",1002
"Persons Place of Usual Residence","North Parramatta","$1,750-$1,999 ($91,000-$103,999)",784
"Persons Place of Usual Residence","North Parramatta","$2,000-$2,999 ($104,000-$155,999)",1104
"Persons Place of Usual Residence","North Parramatta","$3,000 or more ($156,000 or more)",325
"Persons Place of Usual Residence","North Parramatta","Not stated",1957
"Persons Place of Usual Residence","North Parramatta","Not applicable",3713
"Persons Place of Usual Residence","North Parramatta","Total",22232
"Persons Place of Usual Residence","North Rocks","Negative income",22
"Persons Place of Usual Residence","North Rocks","Nil income",725
"Persons Place of Usual Residence","North Rocks","$1-$149 ($1-$7,799)",337
"Persons Place of Usual Residence","North Rocks","$150-$299 ($7,800-$15,599)",360
"Persons Place of Usual Residence","North Rocks","$300-$399 ($15,600-$20,799)",437
"Persons Place of Usual Residence","North Rocks","$400-$499 ($20,800-$25,999)",381
"Persons Place of Usual Residence","North Rocks","$500-$649 ($26,000-$33,799)",399
"Persons Place of Usual Residence","North Rocks","$650-$799 ($33,800-$41,599)",420
"Persons Place of Usual Residence","North Rocks","$800-$999 ($41,600-$51,999)",459
"Persons Place of Usual Residence","North Rocks","$1,000-$1,249 ($52,000-$64,999)",544
"Persons Place of Usual Residence","North Rocks","$1,250-$1,499 ($65,000-$77,999)",415
"Persons Place of Usual Residence","North Rocks","$1,500-$1,749 ($78,000-$90,999)",408
"Persons Place of Usual Residence","North Rocks","$1,750-$1,999 ($91,000-$103,999)",304
"Persons Place of Usual Residence","North Rocks","$2,000-$2,999 ($104,000-$155,999)",501
"Persons Place of Usual Residence","North Rocks","$3,000 or more ($156,000 or more)",290
"Persons Place of Usual Residence","North Rocks","Not stated",250
"Persons Place of Usual Residence","North Rocks","Not applicable",1620
"Persons Place of Usual Residence","North Rocks","Total",7878
"Persons Place of Usual Residence","Northmead","Negative income",86
"Persons Place of Usual Residence","Northmead","Nil income",1873
"Persons Place of Usual Residence","Northmead","$1-$149 ($1-$7,799)",500
"Persons Place of Usual Residence","Northmead","$150-$299 ($7,800-$15,599)",798
"Persons Place of Usual Residence","Northmead","$300-$399 ($15,600-$20,799)",894
"Persons Place of Usual Residence","Northmead","$400-$499 ($20,800-$25,999)",991
"Persons Place of Usual Residence","Northmead","$500-$649 ($26,000-$33,799)",929
"Persons Place of Usual Residence","Northmead","$650-$799 ($33,800-$41,599)",957
"Persons Place of Usual Residence","Northmead","$800-$999 ($41,600-$51,999)",1304
"Persons Place of Usual Residence","Northmead","$1,000-$1,249 ($52,000-$64,999)",1524
"Persons Place of Usual Residence","Northmead","$1,250-$1,499 ($65,000-$77,999)",1151
"Persons Place of Usual Residence","Northmead","$1,500-$1,749 ($78,000-$90,999)",1138
"Persons Place of Usual Residence","Northmead","$1,750-$1,999 ($91,000-$103,999)",802
"Persons Place of Usual Residence","Northmead","$2,000-$2,999 ($104,000-$155,999)",1321
"Persons Place of Usual Residence","Northmead","$3,000 or more ($156,000 or more)",356
"Persons Place of Usual Residence","Northmead","Not stated",1427
"Persons Place of Usual Residence","Northmead","Not applicable",4307
"Persons Place of Usual Residence","Northmead","Total",20383
"Persons Place of Usual Residence","Parramatta - Rosehill","Negative income",129
"Persons Place of Usual Residence","Parramatta - Rosehill","Nil income",3666
"Persons Place of Usual Residence","Parramatta - Rosehill","$1-$149 ($1-$7,799)",648
"Persons Place of Usual Residence","Parramatta - Rosehill","$150-$299 ($7,800-$15,599)",1339
"Persons Place of Usual Residence","Parramatta - Rosehill","$300-$399 ($15,600-$20,799)",1534
"Persons Place of Usual Residence","Parramatta - Rosehill","$400-$499 ($20,800-$25,999)",1324
"Persons Place of Usual Residence","Parramatta - Rosehill","$500-$649 ($26,000-$33,799)",1375
"Persons Place of Usual Residence","Parramatta - Rosehill","$650-$799 ($33,800-$41,599)",1711
"Persons Place of Usual Residence","Parramatta - Rosehill","$800-$999 ($41,600-$51,999)",2161
"Persons Place of Usual Residence","Parramatta - Rosehill","$1,000-$1,249 ($52,000-$64,999)",2209
"Persons Place of Usual Residence","Parramatta - Rosehill","$1,250-$1,499 ($65,000-$77,999)",1652
"Persons Place of Usual Residence","Parramatta - Rosehill","$1,500-$1,749 ($78,000-$90,999)",1380
"Persons Place of Usual Residence","Parramatta - Rosehill","$1,750-$1,999 ($91,000-$103,999)",1068
"Persons Place of Usual Residence","Parramatta - Rosehill","$2,000-$2,999 ($104,000-$155,999)",1266
"Persons Place of Usual Residence","Parramatta - Rosehill","$3,000 or more ($156,000 or more)",286
"Persons Place of Usual Residence","Parramatta - Rosehill","Not stated",2451
"Persons Place of Usual Residence","Parramatta - Rosehill","Not applicable",5043
"Persons Place of Usual Residence","Parramatta - Rosehill","Total",29243
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","Negative income",84
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","Nil income",1916
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$1-$149 ($1-$7,799)",729
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$150-$299 ($7,800-$15,599)",1224
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$300-$399 ($15,600-$20,799)",1489
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$400-$499 ($20,800-$25,999)",1505
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$500-$649 ($26,000-$33,799)",1210
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$650-$799 ($33,800-$41,599)",1315
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$800-$999 ($41,600-$51,999)",1503
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$1,000-$1,249 ($52,000-$64,999)",1612
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$1,250-$1,499 ($65,000-$77,999)",1171
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$1,500-$1,749 ($78,000-$90,999)",938
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$1,750-$1,999 ($91,000-$103,999)",683
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$2,000-$2,999 ($104,000-$155,999)",939
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","$3,000 or more ($156,000 or more)",300
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","Not stated",1145
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","Not applicable",4176
"Persons Place of Usual Residence","Toongabbie - Constitution Hill","Total",21936
"Persons Place of Usual Residence","Winston Hills","Negative income",29
"Persons Place of Usual Residence","Winston Hills","Nil income",790
"Persons Place of Usual Residence","Winston Hills","$1-$149 ($1-$7,799)",425
"Persons Place of Usual Residence","Winston Hills","$150-$299 ($7,800-$15,599)",490
"Persons Place of Usual Residence","Winston Hills","$300-$399 ($15,600-$20,799)",548
"Persons Place of Usual Residence","Winston Hills","$400-$499 ($20,800-$25,999)",563
"Persons Place of Usual Residence","Winston Hills","$500-$649 ($26,000-$33,799)",583
"Persons Place of Usual Residence","Winston Hills","$650-$799 ($33,800-$41,599)",570
"Persons Place of Usual Residence","Winston Hills","$800-$999 ($41,600-$51,999)",666
"Persons Place of Usual Residence","Winston Hills","$1,000-$1,249 ($52,000-$64,999)",795
"Persons Place of Usual Residence","Winston Hills","$1,250-$1,499 ($65,000-$77,999)",589
"Persons Place of Usual Residence","Winston Hills","$1,500-$1,749 ($78,000-$90,999)",529
"Persons Place of Usual Residence","Winston Hills","$1,750-$1,999 ($91,000-$103,999)",442
"Persons Place of Usual Residence","Winston Hills","$2,000-$2,999 ($104,000-$155,999)",714
"Persons Place of Usual Residence","Winston Hills","$3,000 or more ($156,000 or more)",289
"Persons Place of Usual Residence","Winston Hills","Not stated",377
"Persons Place of Usual Residence","Winston Hills","Not applicable",2373
"Persons Place of Usual Residence","Winston Hills","Total",10774
"Persons Place of Usual Residence","Pendle Hill - Girraween","Negative income",53
"Persons Place of Usual Residence","Pendle Hill - Girraween","Nil income",1384
"Persons Place of Usual Residence","Pendle Hill - Girraween","$1-$149 ($1-$7,799)",360
"Persons Place of Usual Residence","Pendle Hill - Girraween","$150-$299 ($7,800-$15,599)",618
"Persons Place of Usual Residence","Pendle Hill - Girraween","$300-$399 ($15,600-$20,799)",726
"Persons Place of Usual Residence","Pendle Hill - Girraween","$400-$499 ($20,800-$25,999)",799
"Persons Place of Usual Residence","Pendle Hill - Girraween","$500-$649 ($26,000-$33,799)",707
"Persons Place of Usual Residence","Pendle Hill - Girraween","$650-$799 ($33,800-$41,599)",752
"Persons Place of Usual Residence","Pendle Hill - Girraween","$800-$999 ($41,600-$51,999)",899
"Persons Place of Usual Residence","Pendle Hill - Girraween","$1,000-$1,249 ($52,000-$64,999)",878
"Persons Place of Usual Residence","Pendle Hill - Girraween","$1,250-$1,499 ($65,000-$77,999)",593
"Persons Place of Usual Residence","Pendle Hill - Girraween","$1,500-$1,749 ($78,000-$90,999)",477
"Persons Place of Usual Residence","Pendle Hill - Girraween","$1,750-$1,999 ($91,000-$103,999)",379
"Persons Place of Usual Residence","Pendle Hill - Girraween","$2,000-$2,999 ($104,000-$155,999)",470
"Persons Place of Usual Residence","Pendle Hill - Girraween","$3,000 or more ($156,000 or more)",115
"Persons Place of Usual Residence","Pendle Hill - Girraween","Not stated",772
"Persons Place of Usual Residence","Pendle Hill - Girraween","Not applicable",2867
"Persons Place of Usual Residence","Pendle Hill - Girraween","Total",12842
"Persons Place of Usual Residence","Wentworthville - Westmead","Negative income",71
"Persons Place of Usual Residence","Wentworthville - Westmead","Nil income",1851
"Persons Place of Usual Residence","Wentworthville - Westmead","$1-$149 ($1-$7,799)",465
"Persons Place of Usual Residence","Wentworthville - Westmead","$150-$299 ($7,800-$15,599)",864
"Persons Place of Usual Residence","Wentworthville - Westmead","$300-$399 ($15,600-$20,799)",950
"Persons Place of Usual Residence","Wentworthville - Westmead","$400-$499 ($20,800-$25,999)",889
"Persons Place of Usual Residence","Wentworthville - Westmead","$500-$649 ($26,000-$33,799)",735
"Persons Place of Usual Residence","Wentworthville - Westmead","$650-$799 ($33,800-$41,599)",845
"Persons Place of Usual Residence","Wentworthville - Westmead","$800-$999 ($41,600-$51,999)",1014
"Persons Place of Usual Residence","Wentworthville - Westmead","$1,000-$1,249 ($52,000-$64,999)",1043
"Persons Place of Usual Residence","Wentworthville - Westmead","$1,250-$1,499 ($65,000-$77,999)",742
"Persons Place of Usual Residence","Wentworthville - Westmead","$1,500-$1,749 ($78,000-$90,999)",676
"Persons Place of Usual Residence","Wentworthville - Westmead","$1,750-$1,999 ($91,000-$103,999)",481
"Persons Place of Usual Residence","Wentworthville - Westmead","$2,000-$2,999 ($104,000-$155,999)",710
"Persons Place of Usual Residence","Wentworthville - Westmead","$3,000 or more ($156,000 or more)",213
"Persons Place of Usual Residence","Wentworthville - Westmead","Not stated",792
"Persons Place of Usual Residence","Wentworthville - Westmead","Not applicable",3267
"Persons Place of Usual Residence","Wentworthville - Westmead","Total",15599
"Persons Place of Usual Residence","Epping - North Epping","Negative income",100
"Persons Place of Usual Residence","Epping - North Epping","Nil income",3586
"Persons Place of Usual Residence","Epping - North Epping","$1-$149 ($1-$7,799)",1194
"Persons Place of Usual Residence","Epping - North Epping","$150-$299 ($7,800-$15,599)",1274
"Persons Place of Usual Residence","Epping - North Epping","$300-$399 ($15,600-$20,799)",1229
"Persons Place of Usual Residence","Epping - North Epping","$400-$499 ($20,800-$25,999)",1218
"Persons Place of Usual Residence","Epping - North Epping","$500-$649 ($26,000-$33,799)",1313
"Persons Place of Usual Residence","Epping - North Epping","$650-$799 ($33,800-$41,599)",1243
"Persons Place of Usual Residence","Epping - North Epping","$800-$999 ($41,600-$51,999)",1544
"Persons Place of Usual Residence","Epping - North Epping","$1,000-$1,249 ($52,000-$64,999)",1854
"Persons Place of Usual Residence","Epping - North Epping","$1,250-$1,499 ($65,000-$77,999)",1346
"Persons Place of Usual Residence","Epping - North Epping","$1,500-$1,749 ($78,000-$90,999)",1287
"Persons Place of Usual Residence","Epping - North Epping","$1,750-$1,999 ($91,000-$103,999)",1032
"Persons Place of Usual Residence","Epping - North Epping","$2,000-$2,999 ($104,000-$155,999)",1919
"Persons Place of Usual Residence","Epping - North Epping","$3,000 or more ($156,000 or more)",1203
"Persons Place of Usual Residence","Epping - North Epping","Not stated",1016
"Persons Place of Usual Residence","Epping - North Epping","Not applicable",4731
"Persons Place of Usual Residence","Epping - North Epping","Total",27093
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","Negative income",55
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","Nil income",1864
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$1-$149 ($1-$7,799)",906
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$150-$299 ($7,800-$15,599)",929
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$300-$399 ($15,600-$20,799)",885
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$400-$499 ($20,800-$25,999)",818
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$500-$649 ($26,000-$33,799)",979
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$650-$799 ($33,800-$41,599)",918
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$800-$999 ($41,600-$51,999)",1093
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$1,000-$1,249 ($52,000-$64,999)",1241
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$1,250-$1,499 ($65,000-$77,999)",1027
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$1,500-$1,749 ($78,000-$90,999)",959
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$1,750-$1,999 ($91,000-$103,999)",794
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$2,000-$2,999 ($104,000-$155,999)",1608
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","$3,000 or more ($156,000 or more)",1549
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","Not stated",942
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","Not applicable",3935
"Persons Place of Usual Residence","Pennant Hills - Cheltenham","Total",20495
"Persons Place of Usual Residence","Eastwood - Denistone","Negative income",124
"Persons Place of Usual Residence","Eastwood - Denistone","Nil income",3476
"Persons Place of Usual Residence","Eastwood - Denistone","$1-$149 ($1-$7,799)",1037
"Persons Place of Usual Residence","Eastwood - Denistone","$150-$299 ($7,800-$15,599)",1408
"Persons Place of Usual Residence","Eastwood - Denistone","$300-$399 ($15,600-$20,799)",1427
"Persons Place of Usual Residence","Eastwood - Denistone","$400-$499 ($20,800-$25,999)",1285
"Persons Place of Usual Residence","Eastwood - Denistone","$500-$649 ($26,000-$33,799)",1340
"Persons Place of Usual Residence","Eastwood - Denistone","$650-$799 ($33,800-$41,599)",1301
"Persons Place of Usual Residence","Eastwood - Denistone","$800-$999 ($41,600-$51,999)",1478
"Persons Place of Usual Residence","Eastwood - Denistone","$1,000-$1,249 ($52,000-$64,999)",1746
"Persons Place of Usual Residence","Eastwood - Denistone","$1,250-$1,499 ($65,000-$77,999)",1201
"Persons Place of Usual Residence","Eastwood - Denistone","$1,500-$1,749 ($78,000-$90,999)",1062
"Persons Place of Usual Residence","Eastwood - Denistone","$1,750-$1,999 ($91,000-$103,999)",763
"Persons Place of Usual Residence","Eastwood - Denistone","$2,000-$2,999 ($104,000-$155,999)",1437
"Persons Place of Usual Residence","Eastwood - Denistone","$3,000 or more ($156,000 or more)",793
"Persons Place of Usual Residence","Eastwood - Denistone","Not stated",1059
"Persons Place of Usual Residence","Eastwood - Denistone","Not applicable",4113
"Persons Place of Usual Residence","Eastwood - Denistone","Total",25045
"Persons Place of Usual Residence","Gladesville - Huntleys Point","Negative income",51
"Persons Place of Usual Residence","Gladesville - Huntleys Point","Nil income",1006
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$1-$149 ($1-$7,799)",453
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$150-$299 ($7,800-$15,599)",607
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$300-$399 ($15,600-$20,799)",732
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$400-$499 ($20,800-$25,999)",742
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$500-$649 ($26,000-$33,799)",622
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$650-$799 ($33,800-$41,599)",696
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$800-$999 ($41,600-$51,999)",792
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$1,000-$1,249 ($52,000-$64,999)",995
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$1,250-$1,499 ($65,000-$77,999)",830
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$1,500-$1,749 ($78,000-$90,999)",766
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$1,750-$1,999 ($91,000-$103,999)",594
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$2,000-$2,999 ($104,000-$155,999)",1026
"Persons Place of Usual Residence","Gladesville - Huntleys Point","$3,000 or more ($156,000 or more)",1093
"Persons Place of Usual Residence","Gladesville - Huntleys Point","Not stated",824
"Persons Place of Usual Residence","Gladesville - Huntleys Point","Not applicable",2582
"Persons Place of Usual Residence","Gladesville - Huntleys Point","Total",14409
"Persons Place of Usual Residence","Hunters Hill - Woolwich","Negative income",54
"Persons Place of Usual Residence","Hunters Hill - Woolwich","Nil income",1072
"Persons Place of Usual Residence","Hunters Hill - Woolwich","$1-$149 ($1-$7,799)",324
